,annotatable_entities,annotated_entities,coverage,consistent_entities,consistency,specificity
BIOMD0000000634.xml,183,20,0.11,19,0.95,0.97
BIOMD0000000152.xml,186,92,0.49,92,1.0,0.85
BIOMD0000000146.xml,72,43,0.6,42,0.98,0.63
BIOMD0000000620.xml,57,9,0.16,8,0.89,0.97
BIOMD0000000608.xml,194,1,0.01,1,1.0,0.51
BIOMD0000000191.xml,11,10,0.91,10,1.0,0.85
BIOMD0000000185.xml,30,22,0.73,21,0.95,0.74
BIOMD0000000813.xml,13,4,0.31,4,1.0,0.74
BIOMD0000000807.xml,20,,0.0,,,
BIOMD0000000350.xml,46,46,1.0,44,0.96,0.73
BIOMD0000000436.xml,37,12,0.32,11,0.92,0.82
BIOMD0000000422.xml,82,31,0.38,30,0.97,1.0
BIOMD0000000344.xml,137,137,1.0,135,0.99,0.84
BIOMD0000000378.xml,8,5,0.62,3,0.6,0.96
BIOMD0000000393.xml,97,19,0.2,18,0.95,0.95
BIOMD0000000387.xml,13,7,0.54,7,1.0,0.96
BIOMD0000000224.xml,13,11,0.85,10,0.91,0.86
BIOMD0000000542.xml,131,44,0.34,44,1.0,0.99
BIOMD0000000556.xml,16,6,0.38,6,1.0,0.99
BIOMD0000000230.xml,92,74,0.8,69,0.93,0.7
BIOMD0000000218.xml,29,28,0.97,28,1.0,0.94
BIOMD0000000581.xml,63,24,0.38,24,1.0,0.98
BIOMD0000000595.xml,1710,5,0.0,5,1.0,0.96
BIOMD0000000740.xml,45,5,0.11,5,1.0,0.86
BIOMD0000000998.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000026.xml,23,15,0.65,15,1.0,0.88
BIOMD0000000032.xml,87,65,0.75,64,0.98,0.82
BIOMD0000000754.xml,15,12,0.8,12,1.0,0.86
BIOMD0000000768.xml,20,13,0.65,13,1.0,0.78
BIOMD0000000783.xml,13,6,0.46,6,1.0,0.56
BIOMD0000000797.xml,18,7,0.39,7,1.0,0.75
BIOMD0000000967.xml,15,6,0.4,2,0.33,0.8
BIOMD0000000973.xml,10,,0.0,,,
BIOMD0000000972.xml,23,,0.0,,,
BIOMD0000000966.xml,15,2,0.13,2,1.0,0.97
BIOMD0000000796.xml,20,13,0.65,13,1.0,0.77
BIOMD0000000782.xml,9,,0.0,,,
BIOMD0000000769.xml,31,22,0.71,22,1.0,0.85
BIOMD0000000033.xml,60,42,0.7,38,0.9,0.95
BIOMD0000000755.xml,18,5,0.28,5,1.0,1.0
BIOMD0000000999.xml,92,78,0.85,77,0.99,0.96
BIOMD0000000741.xml,16,13,0.81,13,1.0,0.82
BIOMD0000000027.xml,11,10,0.91,10,1.0,0.89
BIOMD0000000594.xml,155,2,0.01,2,1.0,0.89
BIOMD0000000580.xml,67,27,0.4,27,1.0,1.0
BIOMD0000000219.xml,30,28,0.93,28,1.0,0.95
BIOMD0000000557.xml,50,20,0.4,20,1.0,0.97
BIOMD0000000231.xml,12,11,0.92,11,1.0,0.95
BIOMD0000000225.xml,10,7,0.7,6,0.86,0.96
BIOMD0000000543.xml,243,58,0.24,57,0.98,0.98
BIOMD0000000386.xml,12,6,0.5,6,1.0,0.95
BIOMD0000000392.xml,83,29,0.35,28,0.97,0.96
BIOMD0000000379.xml,14,13,0.93,12,0.92,0.8
BIOMD0000000423.xml,22,8,0.36,7,0.88,0.98
BIOMD0000000345.xml,15,14,0.93,13,0.93,0.95
BIOMD0000000351.xml,20,20,1.0,19,0.95,0.78
BIOMD0000000437.xml,105,15,0.14,15,1.0,0.99
BIOMD0000000806.xml,33,23,0.7,22,0.96,0.88
BIOMD0000000812.xml,17,6,0.35,6,1.0,1.0
BIOMD0000000184.xml,13,11,0.85,11,1.0,0.86
BIOMD0000000190.xml,26,25,0.96,25,1.0,0.97
BIOMD0000000609.xml,17,4,0.24,4,1.0,1.0
BIOMD0000000147.xml,78,62,0.79,58,0.94,0.72
BIOMD0000000621.xml,57,9,0.16,8,0.89,0.97
BIOMD0000000635.xml,195,80,0.41,78,0.98,0.86
BIOMD0000000153.xml,229,16,0.07,16,1.0,0.99
BIOMD0000000623.xml,64,61,0.95,30,0.49,0.98
BIOMD0000000145.xml,21,19,0.9,19,1.0,0.81
BIOMD0000000151.xml,143,99,0.69,98,0.99,0.68
BIOMD0000000637.xml,36,22,0.61,22,1.0,0.99
BIOMD0000000179.xml,26,22,0.85,21,0.95,0.7
BIOMD0000000838.xml,11,4,0.36,4,1.0,0.72
BIOMD0000000186.xml,22,17,0.77,16,0.94,0.65
BIOMD0000000192.xml,25,17,0.68,17,1.0,0.8
BIOMD0000000804.xml,11,6,0.55,6,1.0,0.76
BIOMD0000000810.xml,69,53,0.77,53,1.0,0.86
BIOMD0000000347.xml,65,65,1.0,65,1.0,0.78
BIOMD0000000421.xml,8,4,0.5,1,0.25,0.45
BIOMD0000000435.xml,14,14,1.0,13,0.93,0.79
BIOMD0000000353.xml,45,35,0.78,32,0.91,0.98
BIOMD0000000409.xml,57,57,1.0,56,0.98,0.87
BIOMD0000000384.xml,12,6,0.5,6,1.0,0.95
BIOMD0000000390.xml,20,7,0.35,7,1.0,0.99
BIOMD0000000233.xml,10,10,1.0,10,1.0,0.63
BIOMD0000000555.xml,3,2,0.67,2,1.0,1.0
BIOMD0000000541.xml,69,39,0.57,38,0.97,0.97
BIOMD0000000227.xml,120,13,0.11,13,1.0,0.96
BIOMD0000000569.xml,85,2,0.02,2,1.0,0.94
BIOMD0000000596.xml,53,40,0.75,40,1.0,1.0
BIOMD0000000582.xml,83,23,0.28,23,1.0,0.96
BIOMD0000000757.xml,30,20,0.67,20,1.0,0.87
BIOMD0000000031.xml,12,11,0.92,11,1.0,0.91
BIOMD0000000025.xml,10,8,0.8,6,0.75,0.81
BIOMD0000000743.xml,20,15,0.75,14,0.93,0.94
BIOMD0000000019.xml,229,21,0.09,21,1.0,0.89
BIOMD0000000794.xml,52,12,0.23,12,1.0,0.81
BIOMD0000000958.xml,22,,0.0,,,
BIOMD0000000780.xml,18,,0.0,,,
BIOMD0000000970.xml,10,,0.0,,,
BIOMD0000000964.xml,23,,0.0,,,
BIOMD0000000965.xml,15,2,0.13,2,1.0,0.83
BIOMD0000000971.xml,23,,0.0,,,
BIOMD0000000781.xml,13,,0.0,,,
BIOMD0000000959.xml,118,68,0.58,68,1.0,0.98
BIOMD0000000795.xml,10,6,0.6,6,1.0,0.76
BIOMD0000000018.xml,83,53,0.64,52,0.98,0.98
BIOMD0000000024.xml,9,8,0.89,8,1.0,0.8
BIOMD0000000742.xml,10,7,0.7,7,1.0,0.79
BIOMD0000000756.xml,17,14,0.82,14,1.0,0.85
